id,totalWinners,totalAmount,winners,startedAt,settledAt,status,gameType,currency,wager,payout,dealerName,dealerUid,numOfParticipants,topSlot_WheelSector,topSlot_Multi,resultType,resultSector,bonusType,bonusMultiplier,cashMinMulti,coinColor,flapperGreen,flapperBlue,flapperYellow,maxMulti,isTopSlotMatched
65de2c67d3572a704f8e2c84,-1,-1,[],2024-02-27T18:38:50.959Z,2024-02-27T18:39:33.872Z,Resolved,crazytime,EUR,2.53,0.41,Alise,tts131885_______,1,CoinFlip,2,WinningNumber,1,,,,,,,,1,False
65de2c36d3572a704f8e2c80,4960,13289,"[900.0, 300.0, 235.92, 207.54, 204.76]",2024-02-27T18:38:00.306Z,2024-02-27T18:38:45.058Z,Resolved,crazytime,EUR,0.48,0.0,Alise,tts131885_______,1,CoinFlip,3,WinningNumber,2,,,,,,,,2,False
65de2c03d3572a704f8e2c7c,7269,57679,"[1300.0, 1040.0, 899.33, 895.54, 819.13]",2024-02-27T18:36:47.365Z,2024-02-27T18:37:54.520Z,Resolved,crazytime,EUR,0.47,1.52,Alise,tts131885_______,1,CrazyBonus,3,BonusRound,CoinFlip,CoinFlip,12,,Red,,,,12,False
65de2bbad3572a704f8e2c76,4176,9042,"[723.07, 350.0, 276.72, 226.14, 222.48]",2024-02-27T18:35:56.980Z,2024-02-27T18:36:41.283Z,Resolved,crazytime,EUR,1.17,0.0,Alise,tts131885_______,1,2,1,WinningNumber,1,,,,,,,,1,False
65de2b88d3572a704f8e2c74,4279,9130,"[500.58, 370.08, 350.0, 286.67, 226.14]",2024-02-27T18:35:08.883Z,2024-02-27T18:35:51.008Z,Resolved,crazytime,EUR,0.0,0.0,Alise,tts131885_______,1,Pachinko,1,WinningNumber,1,,,,,,,,1,False
65de2b57d3572a704f8e2c70,4305,8066,"[370.08, 304.9, 300.0, 226.14, 222.48]",2024-02-27T18:34:24.807Z,2024-02-27T18:35:02.756Z,Resolved,crazytime,EUR,2.1,0.0,Alise,tts131885_______,1,1,1,WinningNumber,1,,,,,,,,1,False
65de2b2cd3572a704f8e2c6d,5732,12724,"[415.07, 255.95, 227.32, 157.81, 151.54]",2024-02-27T18:33:42.314Z,2024-02-27T18:34:19.048Z,Resolved,crazytime,EUR,0.0,0.0,Alise,tts131885_______,1,5,25,WinningNumber,2,,,,,,,,2,False
65de2b01d3572a704f8e2c6a,6552,27249,"[1665.35, 987.83, 744.81, 686.02, 500.58]",2024-02-27T18:32:54.861Z,2024-02-27T18:33:36.541Z,Resolved,crazytime,EUR,0.47,0.0,Alise,tts131885_______,1,CrazyBonus,1,WinningNumber,5,,,,,,,,5,False
65de2ad2d3572a704f8e2c66,4949,13793,"[1010.29, 889.93, 741.08, 650.24, 614.05]",2024-02-27T18:32:05.720Z,2024-02-27T18:32:48.903Z,Resolved,crazytime,EUR,0.58,0.0,Alise,tts131885_______,1,CrazyBonus,3,WinningNumber,1,,,,,,,,1,False
65de2aa0d3572a704f8e2c62,7322,54797,"[1689.3, 1111.32, 1050.26, 838.47, 790.74]",2024-02-27T18:31:20.390Z,2024-02-27T18:31:59.645Z,Resolved,crazytime,EUR,4.68,0.0,Alise,tts131885_______,1,CrazyBonus,20,WinningNumber,10,,,,,,,,10,False
